id,decision,reason
W7125694795,INCLUDE,
W7125677265,EXCLUDE,E6
W7142485337,INCLUDE,
W7142125631,EXCLUDE,E6
W7142235343,EXCLUDE,E6
W7166435632,INCLUDE,
W7166449669,EXCLUDE,E6
W7116353410,INCLUDE,
W7116292131,EXCLUDE,E6
W4389620237,INCLUDE,
W4415938580,INCLUDE,
W7125373130,INCLUDE,
W7128492558,EXCLUDE,E2
W7124556341,INCLUDE,
W7125594319,EXCLUDE,E6
W7125602899,EXCLUDE,E6
W7124581397,EXCLUDE,E6
W7128145548,EXCLUDE,E5
W4402500926,INCLUDE,
W7170198434,INCLUDE,
W7135023243,EXCLUDE,E2
W4412991984,INCLUDE,
W7118863050,INCLUDE,
W7134946843,INCLUDE,
W7163202854,INCLUDE,
W7165523137,INCLUDE,
W7165532591,EXCLUDE,E6
W7123352806,INCLUDE,
W7162593783,INCLUDE,
W7168106708,INCLUDE,
W7162700248,EXCLUDE,E6
W7171700967,EXCLUDE,E6
W7106502091,EXCLUDE,E6
W7170261566,INCLUDE,
W7142784423,EXCLUDE,E2
W7106560181,INCLUDE,
W7127929662,INCLUDE,
W7154961522,INCLUDE,
W7154970339,EXCLUDE,E6
W7169844906,INCLUDE,
W7165659934,EXCLUDE,E2
W7165686830,EXCLUDE,E6
W7133019048,EXCLUDE,E2
W7154875392,EXCLUDE,E5
W7162047886,EXCLUDE,E2
W4400281321,INCLUDE,
W2183003551,INCLUDE,
W7125820915,INCLUDE,
W4389041523,EXCLUDE,E2
W2136365683,INCLUDE,
W4408553978,INCLUDE,
W4391014967,INCLUDE,
W3018905799,INCLUDE,
W4416137200,INCLUDE,
W2743873656,INCLUDE,
W2621784043,INCLUDE,
W4234681047,INCLUDE,
W4392782644,INCLUDE,
W2787838727,INCLUDE,
W2745009853,INCLUDE,
W4409495007,INCLUDE,
W4387847610,INCLUDE,
W4401393659,INCLUDE,
W7118109086,EXCLUDE,E6
W4410902530,INCLUDE,
W4405055622,INCLUDE,
W7171625025,INCLUDE,
W7171652782,EXCLUDE,E6
W7171708939,EXCLUDE,E6
W7204953605,EXCLUDE,E2
W2911010078,INCLUDE,
W4392749340,INCLUDE,
W7167062448,INCLUDE,
W566315056,EXCLUDE,E4
W4416663067,INCLUDE,
W7170086696,INCLUDE,
