"query","id","doi","year","type","venue","title"
"S1","W4411804626","10.3390/electronics14132609","2025","article","Electronics","Data-Driven Predictive Modelling of Agile Projects Using Explainable Artificial Intelligence"
"S1","W4403796501","10.5937/tehnika2405625p","2024","article","Tehnika","Trends in the appllinaction of machine learning algorithms for predicting software project success"
"S1","W4316659314","10.1109/iceca55336.2022.10009299","2022","conference-paper","2022 6th International Conference on Electronics, Communication and Aerospace Technology","Information Technology (IT) Governance Framework with Artificial Neural Network and Balance Scorecard to Improve the Success Rate of Software Projects"
"S1","W4401307680","10.48550/arxiv.2408.00703","2024","preprint","arXiv (Cornell University)","Future of Artificial Intelligence in Agile Software Development"
"S1","W7202291218","10.66857/1326-9ebf","2026","article",,"INTEGRATION OF ARTIFICIAL INTELLIGENCE, AGILE METHODOLOGY, AND SOFTWARE ARCHITECTURE FOR IMPROVING SOFTWARE PROJECT SUCCESS"
"S1","W7202258107","10.66857/1326","2026","article",,"INTEGRATION OF ARTIFICIAL INTELLIGENCE, AGILE METHODOLOGY, AND SOFTWARE ARCHITECTURE FOR IMPROVING SOFTWARE PROJECT SUCCESS"
"S1","W7163758846","10.2139/ssrn.6891364","2026","preprint","SSRN Electronic Journal","Beyond Critical Success Factors: Explaining Software Project Success with Explainable AI and Causal Discovery through Success Propagation in Global Software Development"
"S1","W7120501139","","2014","dissertation","LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)","Argumentation schemes for the discussion of risks in software projects"
"S1","W7112521722","","2024","article","Universiti Putra Malaysia Institutional Repository (Universiti Putra Malaysia)","Issues in Chinese requirements specifications: insights from survey data and static analysis"
"S1","W4407177441","10.62527/joiv.8.4.3667","2024","article","JOIV International Journal on Informatics Visualization","Issues in Chinese Requirements Specifications: Insights from Survey Data and Static Analysis"
"S1","W4402958253","10.32782/2663-5941/2024.4/32","2024","article","Scientific notes of Taurida National V I Vernadsky University Series Technical Sciences","ANALYZING PROJECT MANAGEMENT METHODS IN SOFTWARE DEVELOPMENT"
"S1","W7111674667","","2025","dissertation","ScholarWorks (Walden University)","Software Developer, Analyst, and Consultant Communication Strategies in Enterprise Resource Planning Projects"
"S1","W4417037074","10.5753/sbqs.2025.13759","2025","conference-paper",,"Software Developers’ Perceptions of Productivity: An Industry-focused Study"
"S1","W4416165531","10.63282/3050-9262.ijaidsml-v4i1p112","2023","article","International Journal of Artificial Intelligence Data Science and Machine Learning","Decision Intelligence Methodology for AI-Driven Agile Software Lifecycle Governance and Architecture-Centered Project Management"
"S1","W7130373039","10.1109/isssc66652.2025.11387825","2025","conference-paper",,"Software cost estimation using AI and Federated Learning"
"S2","W3132834526","10.1109/pic50277.2020.9350787","2020","conference-paper",,"Project Portfolio Management Studies Based on Machine Learning and Critical Success Factors"
"S2","W4405742979","10.1007/978-3-031-71526-6_82","2024","book-chapter","Studies in systems, decision and control","Critical Success Factors for Project Management Professionals in the Era of AI-Powered Project Portfolio Enterprise Management (PPEM)"
"S2","W4378679078","10.1007/978-3-031-30351-7_23","2023","conference-paper","Lecture notes in information systems and organisation","Stakeholder Management in Technological Projects and the Opportunity of Artificial Intelligence. A Case Study"
"S2","W4414562992","10.55452/1998-6688-2025-22-3-381-389","2025","article","Herald of Kazakh-British technical university","ARTIFICIAL INTELLIGENCE IN PROJECT MANAGEMENT: REVIEW AND ASSESSMENT OF CRITICAL SUCCESS FACTORS"
"S2","W7124568798","10.35774/rarrpsu2025.30.048","2025","article","Regional’ni aspekti rozvitku produktivnih sil Ukraїni","THE USE OF ARTIFICIAL INTELLIGENCE IN IT PROJECT MANAGEMENT IN THE CONTEXT OF DIGITALIZATION"
"S2","W4415849899","10.6007/ijarbss/v15-i10/26748","2025","article","International Journal of Academic Research in Business and Social Sciences","Mapping the Evolution of Critical Success Factors in Digital Transformation: A 25-Year Bibliometric Perspective"
"S2","W2961847934","","2019","dissertation","Theseus (Ammattikorkeakoulujen)","Exploring Success Factors in Chatbot Implementation Projects"
"S2","W4406662146","10.1007/978-3-031-77806-3_11","2025","book-chapter","Information systems engineering and management","Turning Around Leadership and Communication in Multicultural European Projects Through Artificial Intelligence"
"S2","W7117309472","10.5281/zenodo.18053168","2025","article","Zenodo (CERN European Organization for Nuclear Research)","Sustainable Project Management in Renewable Energy and Infrastructure Projects: Challenges and Opportunities"
"S2","W7117297444","10.5281/zenodo.18053169","2025","article","Zenodo (CERN European Organization for Nuclear Research)","Sustainable Project Management in Renewable Energy and Infrastructure Projects: Challenges and Opportunities"
"S2","W4416136111","10.63278/jicrcr.vi.3425","2025","article","Journal of International Crisis and Risk Communication Research","Risk-Aware Migration Strategies For Enterprise ERP Systems In Regulated Industries"
"S2","W7171773420","10.1108/ijmpb-10-2025-0414","2026","article","International Journal of Managing Projects in Business","Implementing agentic AI in project management: an evidence-based framework and maturity model from systematic analysis"
"S2","W7109829338","10.5281/zenodo.17840739","2025","article","Zenodo (CERN European Organization for Nuclear Research)","Next-Gen Lean ERP Systems for SMEs: Leveraging Project Management and Advanced AI Technologies for Sustainable Growth towards Viksit Bharat 2047"
"S2","W7109561266","10.5281/zenodo.17840738","2025","article","Zenodo (CERN European Organization for Nuclear Research)","Next-Gen Lean ERP Systems for SMEs: Leveraging Project Management and Advanced AI Technologies for Sustainable Growth towards Viksit Bharat 2047"
"S2","W4405115914","10.1108/md-10-2024-246","2024","editorial","Management Decision","Guest editorial: Talent attraction and retention strategies in the post-COVID era: an introduction"
"S2","W7140204450","10.1016/j.procs.2026.03.167","2026","conference-paper","Procedia Computer Science","Responsible AI in Project and Supply Chain Management: A Scoping Review of Governance Mechanisms and Ethical Guidelines (2010–2025)"
"S2","W7165665940","10.33050/corisinta.v3i1.158","2026","article","Journal of Computer Science and Technology Application","Accelerating Time to Market through Agile in AI Innovation"
